    Folder       Mode  Result Count  Cache Hits   Real Time
0      001    NoCache            48           0    0m1.705s
1      001  NormCache            48           0    0m4.206s
2      003    NoCache           414           0    0m1.841s
3      003  NormCache          5378        5355    0m0.941s
4      004    NoCache            52           0    0m0.566s
5      004  NormCache            52           0    0m0.460s
6      005    NoCache             4           0    0m0.412s
7      005  NormCache             6           2    0m0.358s
8      006    NoCache             4           0    0m0.436s
9      006  NormCache             4           0    0m0.346s
10     007    NoCache             8           0    0m0.382s
11     007  NormCache             8           0    0m0.301s
12     008    NoCache            28           0    0m0.469s
13     008  NormCache            28           0    0m0.385s
14     009    NoCache             4           0    0m0.422s
15     009  NormCache             6           2    0m0.355s
16     010    NoCache           188           0    0m1.076s
17     010  NormCache          1383        1381    0m0.533s
18     011    NoCache            33           0    0m0.541s
19     011  NormCache            33           0    0m0.392s
20     012    NoCache           260           0    0m1.489s
21     012  NormCache           810         732    0m1.222s
22     013    NoCache           137           0    0m0.663s
23     013  NormCache           986         984    0m0.529s
26     015    NoCache         10934           0   33m2.590s
27     015  NormCache         32794       21867   47m2.555s
28     016    NoCache            53           0    0m0.490s
29     016  NormCache            53          17    0m0.438s
30     017    NoCache            38           0    0m0.437s
31     017  NormCache            38           5    0m0.415s
32     018    NoCache           370           0    0m1.377s
33     018  NormCache          3267        3265    0m0.717s
34     019    NoCache           160           0    0m0.802s
35     019  NormCache          1170        1168    0m0.535s
36     020    NoCache         99142           0  37m57.913s
37     020  NormCache         99142           0  16m50.714s
38     021    NoCache           307           0    0m1.595s
39     021  NormCache          2594        2592    0m0.809s
40     022    NoCache            41           0    0m0.625s
41     022  NormCache            41           6    0m0.376s
42     023    NoCache            94           0    0m0.666s
43     023  NormCache           327         310    0m0.478s
44     024    NoCache             7           0    0m0.438s
45     024  NormCache            13          11    0m0.345s
48     026    NoCache             5           0    0m6.576s
49     026  NormCache             5           0    0m4.473s
50     027    NoCache           105           0    0m0.562s
51     027  NormCache           105          25    0m0.540s
52     028    NoCache           843           0    0m2.639s
53     028  NormCache          9419        9417    0m1.427s
54     029    NoCache            13           0    0m0.433s
55     029  NormCache            13           0    0m0.402s
56     030    NoCache          6655           0  23m46.401s
57     030  NormCache          6654           0  36m18.866s
58     031    NoCache         44942           0  20m42.121s
59     031  NormCache        395746      395097   9m18.096s
60     032    NoCache             5           0    0m0.436s
61     032  NormCache             9           5    0m0.368s
62     033    NoCache           157           0    0m0.842s
63     033  NormCache          1132        1130    0m0.496s
64     034    NoCache            74           0    0m0.757s
65     034  NormCache           453         451    0m0.431s
66     035    NoCache            13           0    0m0.475s
67     035  NormCache            20           9    0m0.340s
68     036    NoCache            50           0    0m0.552s
69     036  NormCache            50           0    0m0.474s
70     038    NoCache             6           0   0m13.308s
71     038  NormCache             6           0    0m7.589s
72     039    NoCache             3           0    0m2.408s
73     039  NormCache             3           0    0m2.557s
74     040    NoCache             6           0    0m0.338s
75     040  NormCache             6           0    0m0.390s
76     041    NoCache           204           0    0m1.061s
77     041  NormCache          1565        1563    0m0.642s
78     042    NoCache            30           0    0m0.482s
79     042  NormCache            30           0    0m0.359s
80     043    NoCache           350           0    0m1.615s
81     043  NormCache          3093        3091    0m0.955s
82     044    NoCache         24942           0  10m21.166s
83     044  NormCache        149018      146692   4m20.044s
