Folder Mode ResultCount CacheHits Time1 Time2 Time3 TimeAvg
91       048      29           2          0m0.432s   0m0.433s   0m0.467s   0m0.444s
92       049      2            0          0m0.376s   0m0.307s   0m0.373s   0m0.352s
93       049      2            0          0m0.274s   0m0.377s   0m0.309s   0m0.320s
94       050      103          0          0m0.595s   0m0.519s   0m0.948s   0m0.687s
95       050      663          661        0m0.497s   0m0.506s   0m0.436s   0m0.480s
96       051      27           0          0m1.174s   0m1.106s   0m1.771s   0m1.350s
97       051      27           0          0m1.560s   0m1.640s   0m1.466s   0m1.555s
98       052      156          0          0m0.978s   0m0.673s   0m1.299s   0m0.983s
99       052      1135         1133       0m0.513s   0m0.576s   0m0.586s   0m0.558s
100      053      11           0          0m0.449s   0m0.331s   0m0.428s   0m0.403s
101      053      26           24         0m0.306s   0m0.326s   0m0.324s   0m0.319s
102      054      6            0          0m0.486s   0m0.366s   0m0.355s   0m0.402s
103      054      6            0          0m0.308s   0m0.395s   0m0.387s   0m0.363s
104      055      36           0          0m0.554s   0m0.463s   0m0.633s   0m0.550s
105      055      36           0          0m0.504s   0m0.560s   0m0.433s   0m0.499s
106      056      4            0          0m1.636s   0m1.604s   0m1.649s   0m1.630s
107      056      4            0          0m1.537s   0m1.559s   0m1.512s   0m1.536s
108      057      43           0          0m0.486s   0m0.472s   0m0.585s   0m0.514s
109      057      43           0          0m0.425s   0m0.392s   0m0.446s   0m0.421s
110      058      6            0          0m0.336s   0m0.432s   0m0.491s   0m0.420s
111      058      6            0          0m0.381s   0m0.402s   0m0.368s   0m0.384s
112      059      5            0          0m7.950s   0m7.834s   0m4.423s   0m6.736s
113      059      5            0          0m4.135s   0m4.686s   0m4.247s   0m4.356s
114      060      7            0          0m0.438s   0m0.377s   0m0.567s   0m0.461s
115      060      15           11         0m0.298s   0m0.374s   0m0.363s   0m0.345s
116      061      155          0          0m1.091s   0m0.690s   0m0.904s   0m0.895s
117      061      1125         1123       0m0.554s   0m0.616s   0m0.595s   0m0.588s
118      062      139          0          0m0.803s   0m0.574s   0m0.822s   0m0.733s
119      062      1014         1012       0m0.492s   0m0.661s   0m0.550s   0m0.568s
120      063      440          0          0m1.679s   0m1.232s   0m1.351s   0m1.421s
121      063      4439         4437       0m0.669s   0m0.972s   0m0.888s   0m0.843s
122      064      598          0          0m2.487s   0m1.669s   0m2.551s   0m2.236s
123      064      6464         6462       0m1.152s   0m1.220s   0m1.096s   0m1.156s
124      065      562          0          0m1.837s   0m1.730s   0m1.824s   0m1.797s
125      065      5866         5864       0m0.996s   0m0.980s   0m1.025s   0m1.000s
126      066      12           0          0m0.434s   0m0.401s   0m0.453s   0m0.429s
127      066      12           0          0m0.396s   0m0.402s   0m0.346s   0m0.381s
128      067      12           0          0m0.471s   0m0.325s   0m0.488s   0m0.428s
129      067      34           28         0m0.383s   0m0.430s   0m0.466s   0m0.426s
130      068      10420        0          30m47.663s 28m49.346s 47m58.016s 35m51.675s
131      068      20836        10423      42m32.859s 42m59.068s 43m11.522s 42m54.483s
132      069      462          0          0m1.484s   0m1.459s   0m2.129s   0m1.691s
133      069      4599         4597       0m0.923s   0m1.067s   0m0.931s   0m0.974s
134      070      59           0          0m0.492s   0m0.465s   0m0.804s   0m0.587s
135      070      326          324        0m0.454s   0m0.538s   0m0.460s   0m0.484s
136      071      181          0          0m0.916s   0m0.726s   0m0.830s   0m0.824s
137      071      1353         1351       0m0.613s   0m0.549s   0m0.562s   0m0.575s
138      072      3287         0          0m11.657s  0m8.706s   0m17.060s  0m12.474s
139      072      46795        46793      0m4.750s   0m4.592s   0m5.015s   0m4.786s
140      073      4            0          0m0.359s   0m0.324s   0m0.426s   0m0.370s
141      073      6            4          0m0.408s   0m0.354s   0m0.404s   0m0.389s
142      074      6            0          0m0.389s   0m0.393s   0m0.416s   0m0.399s
143      074      6            0          0m0.366s   0m0.386s   0m0.407s   0m0.386s
144      075      11           0          0m0.411s   0m0.323s   0m0.613s   0m0.449s
145      075      30           24         0m0.355s   0m0.365s   0m0.464s   0m0.395s
146      076      7039         0          1m24.633s  0m49.209s  1m56.870s  1m23.571s
