    Folder       Mode  Result Count  Cache Hits   Real Time
157    085  NormCache             4           0   1m47.518s
158    086    NoCache           161           0    0m0.797s
159    086  NormCache           161           0    0m0.580s
160    087    NoCache            59           0    0m0.475s
161    087  NormCache            59           0    0m0.459s
162    088    NoCache            11           0    0m0.322s
163    088  NormCache            11           0    0m0.369s
164    089    NoCache           308           0    0m1.085s
165    089  NormCache           308           0    0m0.698s
166    090    NoCache          7520           0   7m48.490s
167    090  NormCache          7520           0    5m6.034s
168    091    NoCache           154           0    0m0.832s
169    091  NormCache           154           0    0m0.483s
170    092    NoCache          8274           0   9m15.518s
171    092  NormCache          8274           0    7m2.204s
172    095    NoCache           152           0    0m0.777s
173    095  NormCache           152           0    0m0.635s
174    096    NoCache           368           0    0m0.942s
175    096  NormCache           368           0    0m0.800s
176    097    NoCache             2           0    0m0.312s
177    097  NormCache             2           0    0m0.347s
178    098    NoCache             7           0   0m11.269s
179    098  NormCache             7           0   0m15.856s
180    099    NoCache           203           0    0m0.662s
181    099  NormCache           203           0    0m0.552s
182    100    NoCache           160           0    0m0.811s
183    100  NormCache           160           0    0m0.555s
184    101    NoCache           215           0    0m0.765s
185    101  NormCache           215           0    0m0.608s
186    102    NoCache          1246           0    0m4.489s
187    102  NormCache          1246           0    0m4.409s
188    103    NoCache             6           0    0m0.396s
189    103  NormCache             6           0    0m0.421s
190    104    NoCache             6           0    0m0.372s
191    104  NormCache             6           0    0m0.313s
192    105    NoCache            70           0    0m0.520s
193    105  NormCache            70           0    0m0.481s
194    106    NoCache             2           0    0m0.312s
195    106  NormCache             2           0    0m0.370s
196    107    NoCache          6678           0   59m6.425s
197    107  NormCache          6678           0  55m24.591s
198    108    NoCache           371           0    0m1.259s
199    108  NormCache           371           0    0m0.852s
200    109    NoCache            33           0    0m0.512s
201    109  NormCache            33           0    0m0.420s
202    110    NoCache          1283           0   5m32.688s
203    110  NormCache          1283           0   6m22.526s
204    111    NoCache            12           0    0m0.449s
205    111  NormCache            12           0    0m0.479s
206    112    NoCache            19           0    0m0.439s
207    112  NormCache            19           0    0m0.537s
208    113    NoCache           181           0    0m0.670s
209    113  NormCache           181           0    0m0.651s
210    114    NoCache            18           0    0m0.441s
211    114  NormCache            18           0    0m0.475s
212    115    NoCache             5           0    0m6.748s
213    115  NormCache             5           0    0m5.007s
214    116    NoCache            28           0    0m2.515s
215    116  NormCache            28           0    0m2.937s
216    117    NoCache             2           0    0m0.367s
217    117  NormCache             2           0    0m0.386s
218    118    NoCache             2           0    0m0.391s
219    118  NormCache             2           0    0m0.392s
220    119    NoCache            93           0    0m0.510s
221    119  NormCache            93           0    0m0.679s
222    120    NoCache             4           0    0m1.801s
223    120  NormCache             4           0    0m1.520s
224    121    NoCache            44           0    0m1.409s
225    121  NormCache            44           0    0m2.006s
226    122    NoCache            68           0    0m0.518s
227    122  NormCache            68           0    0m0.442s
228    124    NoCache             2           0    0m0.348s
229    124  NormCache             2           0    0m0.366s
230    125    NoCache            10           0    0m0.376s
231    125  NormCache            10           0    0m0.335s
232    126    NoCache             4           0    0m0.400s
233    126  NormCache             4           0    0m0.379s
234    127    NoCache           958           0    0m2.439s
235    127  NormCache           958           0    0m2.454s
236    129    NoCache            24           0    0m0.438s
237    129  NormCache            24           0    0m0.428s
238    130    NoCache             4           0    0m0.407s
239    130  NormCache             4           0    0m0.375s
240    131    NoCache             6           0    0m0.375s
241    131  NormCache             6           0    0m0.380s
242    132    NoCache           452           0    0m2.333s
243    132  NormCache           452           0    0m3.249s
244    133    NoCache          6492           0   6m17.741s
245    133  NormCache          6492           0   7m24.698s
246    134    NoCache           994           0    0m2.649s
247    134  NormCache           994           0    0m1.541s
248    135    NoCache            15           0    0m0.432s
249    135  NormCache            15           0    0m0.481s
250    136    NoCache             4           0    0m0.319s
251    136  NormCache             4           0    0m0.411s
252    137    NoCache           183           0    0m0.682s
253    137  NormCache           183           0    0m0.547s
254    138    NoCache             3           0    0m0.381s
255    138  NormCache             3           0    0m0.321s
256    139    NoCache             6           0    0m0.392s
257    139  NormCache             6           0    0m0.360s
258    140    NoCache            49           0    0m0.534s
259    140  NormCache            49           0    0m0.492s
260    141    NoCache            89           0    0m0.540s
261    141  NormCache            89           0    0m0.478s
262    142    NoCache             8           0   0m25.381s
263    142  NormCache             8           0   0m25.701s
264    143    NoCache          1055           0    0m2.456s
265    143  NormCache          1055           0    0m1.539s
266    144    NoCache            34           0    0m0.439s
267    144  NormCache            34           0    0m0.443s
268    146    NoCache            19           0   0m20.786s
269    146  NormCache            19           0    2m7.891s
270    147    NoCache          9484           0  19m26.557s
271    147  NormCache          9484           0  29m52.541s
272    148    NoCache            18           0    0m0.420s
273    148  NormCache            18           0    0m0.472s
274    149    NoCache            10           0   0m31.579s
275    149  NormCache            10           0   0m37.620s
276    150    NoCache          1125           0    0m2.819s
277    150  NormCache          1125           0    0m1.636s
278    151    NoCache           101           0    0m0.570s
279    151  NormCache           101           0    0m0.535s
280    152    NoCache            73           0    0m0.474s
281    152  NormCache            73           0    0m0.513s
282    153    NoCache            27           0    0m0.413s
283    153  NormCache            27           0    0m0.403s
284    154    NoCache             5           0    0m8.038s
285    154  NormCache             5           0    0m4.452s
286    155    NoCache          2927           0   16m4.751s
287    155  NormCache          2927           0  15m44.078s
288    156    NoCache             4           0    0m1.623s
289    156  NormCache             4           0    0m1.423s
290    157    NoCache            99           0    0m0.569s
291    157  NormCache            99           0    0m0.506s
292    158    NoCache           367           0    0m1.018s
293    158  NormCache           367           0    0m0.778s
294    159    NoCache            31           0    0m0.429s
295    159  NormCache            31           0    0m0.414s
296    160    NoCache            13           0    0m0.394s
297    160  NormCache            13           0    0m0.417s
298    161    NoCache            26           0    0m0.410s
299    161  NormCache            26           0    0m0.428s
300    162    NoCache             2           0    0m0.378s
301    162  NormCache             2           0    0m0.375s
302    163    NoCache         18826           0   2m23.027s
303    163  NormCache         18826           0    2m1.246s
304    164    NoCache             4           0    0m0.373s
305    164  NormCache             4           0    0m0.485s
306    165    NoCache             3           0    0m2.535s
307    165  NormCache             3           0    0m2.453s
308    166    NoCache            19           0   0m21.334s
309    166  NormCache            19           0    2m8.062s
310    167    NoCache            19           0   0m21.283s
311    167  NormCache            19           0    2m7.291s
312    168    NoCache             2           0    0m0.286s
313    168  NormCache             2           0    0m0.389s
314    169    NoCache           215           0    0m0.740s
315    169  NormCache           215           0    0m0.657s
316    170    NoCache            48           0    0m1.356s
317    170  NormCache            48           0    0m2.099s
318    171    NoCache             6           0    0m0.374s
319    171  NormCache             6           0    0m0.460s
320    172    NoCache           172           0    0m0.941s
321    172  NormCache           172           0    0m0.624s
322    173    NoCache             6           0    0m0.321s
323    173  NormCache             6           0    0m0.345s
324    175    NoCache          3353           0  31m38.310s
325    175  NormCache          3353           0   39m3.139s
326    176    NoCache           110           0    0m0.651s
327    176  NormCache           110           0    0m0.637s
328    177    NoCache           480           0    0m1.371s
329    177  NormCache           480           0    0m0.854s
330    178    NoCache             2           0    0m0.949s
331    178  NormCache             2           0    0m0.899s
332    179    NoCache            33           0    0m0.448s
333    179  NormCache            33           0    0m0.355s
334    180    NoCache            48           0    0m0.469s
335    180  NormCache            48           0    0m0.442s
336    181    NoCache           234           0    0m0.838s
337    181  NormCache           234           0    0m0.543s
338    182    NoCache            68           0    0m0.547s
339    182  NormCache            68           0    0m0.371s
340    183    NoCache           104           0    0m0.593s
341    183  NormCache           104           0    0m0.493s
342    184    NoCache          5298           0  14m17.206s
343    184  NormCache          5298           0  20m49.108s
344    185    NoCache           180           0    0m0.659s
345    185  NormCache           180           0    0m0.702s
346    186    NoCache         10854           0   1m46.836s
347    186  NormCache         10854           0   1m45.831s
348    187    NoCache             6           0    0m0.394s
349    187  NormCache             6           0    0m0.368s
350    188    NoCache          1126           0    0m5.403s
351    188  NormCache          1126           0    0m1.749s
352    189    NoCache             9           0   0m31.084s
353    189  NormCache             9           0   0m32.598s
354    190    NoCache            86           0    0m0.523s
355    190  NormCache            86           0    0m0.500s
356    191    NoCache           924           0    0m2.226s
357    191  NormCache           924           0    0m1.559s
358    193    NoCache            85           0    0m0.567s
359    193  NormCache            85           0    0m0.764s
360    194    NoCache            46           0    0m0.411s
361    194  NormCache            46           0    0m0.493s
362    195    NoCache           148           0    0m0.837s
363    195  NormCache           148           0    0m0.598s
364    196    NoCache             2           0    0m0.384s
365    196  NormCache             2           0    0m0.460s
366    197    NoCache             2           0    0m0.332s
367    197  NormCache             2           0    0m0.306s
368    198    NoCache             5           0    0m8.102s
369    198  NormCache             5           0    0m4.610s
370    199    NoCache            48           0    0m1.401s
371    199  NormCache            48           0    0m1.893s
372    200    NoCache            57           0    0m0.436s
373    200  NormCache            57           0    0m0.432s
374    201    NoCache           534           0    0m1.474s
375    201  NormCache           534           0    0m0.859s
376    202    NoCache             2           0    0m0.340s
377    202  NormCache             2           0    0m0.273s
378    203    NoCache           187           0    0m0.775s
379    203  NormCache           187           0    0m0.613s
380    204    NoCache            72           0    0m0.683s
381    204  NormCache            72           0    0m0.629s
382    205    NoCache             2           0    0m0.386s
383    205  NormCache             2           0    0m0.305s
384    206    NoCache            36           0    0m0.514s
385    206  NormCache            36           0    0m0.454s
386    207    NoCache           167           0    0m0.730s
387    207  NormCache           167           0    0m0.467s
388    208    NoCache           157           0    0m0.680s
389    208  NormCache           157           0    0m0.552s
390    209    NoCache             7           0    0m0.394s
391    209  NormCache             7           0    0m0.373s
392    210    NoCache             4           0    0m0.373s
393    210  NormCache             4           0    0m0.385s
394    211    NoCache            70           0    0m0.525s
395    211  NormCache            70           0    0m0.509s
396    212    NoCache           330           0    0m1.063s
397    212  NormCache           330           0    0m0.870s
398    213    NoCache           313           0    0m0.919s
399    213  NormCache           313           0    0m0.707s
400    214    NoCache           996           0    0m2.212s
401    214  NormCache           996           0    0m1.561s
402    215    NoCache          1923           0    0m4.817s
403    215  NormCache          1923           0    0m2.830s
404    216    NoCache            86           0    0m0.641s
405    216  NormCache            86           0    0m0.613s
406    218    NoCache             6           0    0m0.356s
407    218  NormCache             6           0    0m0.385s
408    219    NoCache           150           0    0m0.598s
409    219  NormCache           150           0    0m0.601s
410    220    NoCache             3           0    0m0.312s
411    220  NormCache             3           0    0m0.367s
412    221    NoCache            10           0    0m0.423s
413    221  NormCache            10           0    0m0.426s
414    222    NoCache             4           0    0m0.439s
415    222  NormCache             4           0    0m0.418s
416    223    NoCache           243           0    0m0.754s
417    223  NormCache           243           0    0m0.493s
418    224    NoCache             4           0    0m0.382s
419    224  NormCache             4           0    0m0.328s
420    226    NoCache          1122           0   0m11.246s
421    226  NormCache          1122           0   0m16.330s
422    227    NoCache           653           0    0m2.559s
423    227  NormCache           653           0    0m4.853s
424    228    NoCache           644           0    0m2.154s
425    228  NormCache           644           0    0m2.871s
426    229    NoCache           110           0    0m0.615s
427    229  NormCache           110           0    0m0.699s
428    230    NoCache           602           0    0m1.630s
429    230  NormCache           602           0    0m1.948s
430    231    NoCache             6           0    0m0.352s
431    231  NormCache             6           0    0m0.522s
432    232    NoCache             2           0    0m1.020s
433    232  NormCache             2           0    0m1.110s
434    233    NoCache         10531           0  28m59.448s
435    233  NormCache         10531           0  47m33.381s
436    234    NoCache             5           0    0m7.234s
437    234  NormCache             5           0    0m4.483s
438    235    NoCache          1548           0   7m31.488s
439    235  NormCache          1548           0    8m2.406s
440    236    NoCache            82           0    0m2.195s
441    236  NormCache            82           0    0m4.982s
442    237    NoCache            33           0    0m0.412s
443    237  NormCache            33           0    0m0.488s
444    238    NoCache             6           0    0m0.396s
445    238  NormCache             6           0    0m0.439s
446    239    NoCache            17           0    0m0.372s
447    239  NormCache            17           0    0m0.572s
448    240    NoCache            13           0    0m0.419s
449    240  NormCache            13           0    0m0.526s
450    241    NoCache            80           0    0m0.657s
451    241  NormCache            80           0    0m0.946s
452    242    NoCache            70           0    0m0.593s
453    242  NormCache            70           0    0m0.632s
454    243    NoCache          5597           0  16m22.339s
455    243  NormCache          5597           0   26m3.287s
456    244    NoCache           319           0    0m1.192s
457    244  NormCache           319           0    0m1.176s
458    245    NoCache            12           0    0m0.949s
459    245  NormCache            12           0    0m0.871s
460    246    NoCache            15           0    0m0.458s
461    246  NormCache            15           0    0m0.430s
462    247    NoCache            75           0    0m0.835s
463    247  NormCache            75           0    0m0.753s
464    249    NoCache           291           0    0m0.979s
465    249  NormCache           291           0    0m1.057s
466    250    NoCache             5           0    0m8.291s
467    250  NormCache             5           0    0m4.593s
468    251    NoCache             2           0    0m0.360s
469    251  NormCache             2           0    0m0.380s
470    252    NoCache          8224           0   9m21.040s
471    252  NormCache          8224           0   8m37.692s
472    253    NoCache           846           0   1m12.968s
473    253  NormCache           846           0   1m14.986s
474    254    NoCache            12           0    0m0.397s
475    254  NormCache            12           0    0m0.568s
476    255    NoCache             5           0    0m0.475s
477    255  NormCache             5           0    0m0.467s
478    256    NoCache            12           0    0m0.364s
479    256  NormCache            12           0    0m0.587s
480    257    NoCache             2           0    0m0.359s
481    257  NormCache             2           0    0m0.383s
482    258    NoCache           122           0    0m0.553s
483    258  NormCache           122           0    0m0.862s
484    259    NoCache          1487           0   1m51.436s
485    259  NormCache          1487           0   2m50.015s
486    260    NoCache             4           0    0m0.436s
487    260  NormCache             4           0    0m0.447s
488    261    NoCache          1378           0    0m4.875s
489    261  NormCache          1378           0    0m9.198s
490    262    NoCache            10           0    0m0.938s
491    262  NormCache            10           0    0m1.551s
492    263    NoCache             4           0   1m12.227s
493    263  NormCache             4           0   1m57.040s
494    264    NoCache             2           0   0m17.345s
495    264  NormCache             2           0   0m13.774s
496    265    NoCache           152           0    0m0.731s
497    265  NormCache           152           0    0m0.685s
498    266    NoCache             4           0    0m0.324s
499    266  NormCache             4           0    0m0.363s
500    267    NoCache          1416           0    0m3.294s
501    267  NormCache          1416           0    0m2.760s
