    Folder       Mode  Result Count  Cache Hits   Real Time
0      001    NoCache            48           0    0m2.063s
1      001  NormCache            48           0    0m1.947s
2      003    NoCache           414           0    0m0.818s
3      003  NormCache           414           0    0m0.870s
4      004    NoCache            52           0    0m0.402s
5      004  NormCache            52           0    0m0.523s
6      005    NoCache             4           0    0m0.398s
7      005  NormCache             4           0    0m0.386s
8      006    NoCache             4           0    0m0.333s
9      006  NormCache             4           0    0m0.317s
10     007    NoCache             8           0    0m0.375s
11     007  NormCache             8           0    0m0.387s
12     008    NoCache            28           0    0m0.433s
13     008  NormCache            28           0    0m0.386s
14     009    NoCache             4           0    0m0.364s
15     009  NormCache             4           0    0m0.332s
16     010    NoCache           188           0    0m0.585s
17     010  NormCache           188           0    0m0.534s
18     011    NoCache            33           0    0m0.361s
19     011  NormCache            33           0    0m0.433s
20     012    NoCache           260           0    0m1.191s
21     012  NormCache           260           0    0m1.276s
22     013    NoCache           137           0    0m0.593s
23     013  NormCache           137           0    0m0.518s
24     015    NoCache         10934           0   51m9.731s
25     015  NormCache         10934           0  48m21.728s
26     016    NoCache            53           0    0m2.408s
27     016  NormCache            53           0    0m0.388s
28     017    NoCache            38           0    0m0.451s
29     017  NormCache            38           0    0m0.385s
30     018    NoCache           370           0    0m1.022s
31     018  NormCache           370           0    0m0.808s
32     019    NoCache           160           0    0m0.538s
33     019  NormCache           160           0    0m0.513s
34     020    NoCache         99142           0  19m49.103s
35     020  NormCache         99142           0  17m44.515s
36     021    NoCache           307           0    0m0.861s
37     021  NormCache           307           0    0m0.799s
38     022    NoCache            41           0    0m0.452s
39     022  NormCache            41           0    0m0.437s
40     023    NoCache            94           0    0m0.464s
41     023  NormCache            94           0    0m0.403s
42     024    NoCache             7           0    0m0.311s
43     024  NormCache             7           0    0m0.351s
44     026    NoCache             5           0    0m4.633s
45     026  NormCache             5           0    0m4.375s
46     027    NoCache           105           0    0m0.602s
47     027  NormCache           105           0    0m0.526s
48     028    NoCache           843           0    0m1.524s
49     028  NormCache           843           0    0m1.386s
50     029    NoCache            13           0    0m0.481s
51     029  NormCache            13           0    0m0.381s
52     030    NoCache          6655           0  37m24.368s
53     030  NormCache          6655           0  36m28.655s
54     031    NoCache         44942           0  19m29.664s
55     031  NormCache         44942           0   9m31.559s
56     032    NoCache             5           0    0m0.434s
57     032  NormCache             5           0    0m0.371s
58     033    NoCache           157           0    0m1.175s
59     033  NormCache           157           0    0m0.638s
60     034    NoCache            74           0    0m0.895s
61     034  NormCache            74           0    0m0.526s
62     035    NoCache            13           0    0m0.447s
63     035  NormCache            13           0    0m0.418s
64     036    NoCache            50           0    0m0.759s
65     036  NormCache            50           0    0m0.610s
66     038    NoCache             6           0   0m16.246s
67     038  NormCache             6           0    0m6.826s
68     039    NoCache             3           0    0m2.900s
69     039  NormCache             3           0    0m2.498s
70     040    NoCache             6           0    0m0.462s
71     040  NormCache             6           0    0m0.317s
72     041    NoCache           204           0    0m1.013s
73     041  NormCache           204           0    0m0.521s
74     042    NoCache            30           0    0m0.602s
75     042  NormCache            30           0    0m0.473s
76     043    NoCache           350           0    0m1.664s
77     043  NormCache           350           0    0m0.834s
78     044    NoCache         24942           0  10m28.392s
79     044  NormCache         24942           0   4m24.221s
80     045    NoCache            19           0    0m0.656s
81     045  NormCache            19           0    0m0.496s
82     046    NoCache             5           0    0m4.458s
83     046  NormCache             5           0    0m4.215s
84     047    NoCache             2           0    0m0.309s
85     047  NormCache             2           0    0m0.386s
86     048    NoCache            29           0    0m0.703s
87     048  NormCache            29           0    0m0.467s
88     049    NoCache             2           0    0m0.373s
89     049  NormCache             2           0    0m0.309s
90     050    NoCache           103           0    0m0.948s
91     050  NormCache           103           0    0m0.436s
92     051    NoCache            27           0    0m1.771s
93     051  NormCache            27           0    0m1.466s
94     052    NoCache           156           0    0m1.299s
95     052  NormCache           156           0    0m0.586s
96     053    NoCache            11           0    0m0.428s
97     053  NormCache            11           0    0m0.324s
98     054    NoCache             6           0    0m0.355s
99     054  NormCache             6           0    0m0.387s
100    055    NoCache            36           0    0m0.633s
101    055  NormCache            36           0    0m0.433s
102    056    NoCache             4           0    0m1.649s
103    056  NormCache             4           0    0m1.512s
104    057    NoCache            43           0    0m0.585s
105    057  NormCache            43           0    0m0.446s
106    058    NoCache             6           0    0m0.491s
107    058  NormCache             6           0    0m0.368s
108    059    NoCache             5           0    0m4.423s
109    059  NormCache             5           0    0m4.247s
110    060    NoCache             7           0    0m0.567s
111    060  NormCache             7           0    0m0.363s
112    061    NoCache           155           0    0m0.904s
113    061  NormCache           155           0    0m0.595s
114    062    NoCache           139           0    0m0.822s
115    062  NormCache           139           0    0m0.550s
116    063    NoCache           440           0    0m1.351s
117    063  NormCache           440           0    0m0.888s
118    064    NoCache           598           0    0m2.551s
119    064  NormCache           598           0    0m1.096s
120    065    NoCache           562           0    0m1.824s
121    065  NormCache           562           0    0m1.025s
122    066    NoCache            12           0    0m0.453s
123    066  NormCache            12           0    0m0.346s
124    067    NoCache            12           0    0m0.488s
125    067  NormCache            12           0    0m0.466s
126    068    NoCache         10420           0  47m58.016s
127    068  NormCache         10420           0  43m11.522s
128    069    NoCache           462           0    0m2.129s
129    069  NormCache           462           0    0m0.931s
130    070    NoCache            59           0    0m0.804s
131    070  NormCache            59           0    0m0.460s
132    071    NoCache           181           0    0m0.830s
133    071  NormCache           181           0    0m0.562s
134    072    NoCache          3287           0   0m17.060s
135    072  NormCache          3287           0    0m5.015s
136    073    NoCache             4           0    0m0.426s
137    073  NormCache             4           0    0m0.404s
138    074    NoCache             6           0    0m0.416s
