    Folder       Mode  Result Count  Cache Hits    Real Time
0      001    NoCache            48           0     0m1.705s
1      001  NormCache            48           0     0m4.206s
2      002    NoCache          3812           0  211m40.371s
3      002  NormCache          3814           4   52m21.517s
4      003    NoCache           414           0     0m1.841s
5      003  NormCache          5378        5355     0m0.941s
6      004  NormCache            52           0     0m0.460s
7      004    NoCache            52           0     0m0.566s
8      005  NormCache             6           2     0m0.358s
9      005    NoCache             4           0     0m0.412s
10     006  NormCache             4           0     0m0.346s
11     006    NoCache             4           0     0m0.436s
12     007  NormCache             8           0     0m0.301s
13     007    NoCache             8           0     0m0.382s
14     008    NoCache            28           0     0m0.469s
15     008  NormCache            28           0     0m0.385s
16     009  NormCache             6           2     0m0.355s
17     009    NoCache             4           0     0m0.422s
18     010    NoCache           188           0     0m1.076s
19     010  NormCache          1383        1381     0m0.533s
20     011  NormCache            33           0     0m0.392s
21     011    NoCache            33           0     0m0.541s
22     012  NormCache           810         732     0m1.222s
23     012    NoCache           260           0     0m1.489s
24     013    NoCache           137           0     0m0.663s
25     013  NormCache           986         984     0m0.529s
26     014    NoCache             0           0     0m0.373s
27     014  NormCache             0           0     0m0.327s
28     015    NoCache         10934           0    33m2.590s
29     015  NormCache         32794       21867    47m2.555s
30     016  NormCache            53          17     0m0.438s
31     016    NoCache            53           0     0m0.490s
32     017  NormCache            38           5     0m0.415s
33     017    NoCache            38           0     0m0.437s
34     018    NoCache           370           0     0m1.377s
35     018  NormCache          3267        3265     0m0.717s
36     019  NormCache          1170        1168     0m0.535s
37     019    NoCache           160           0     0m0.802s
38     020    NoCache         99142           0   37m57.913s
39     020  NormCache         99142           0   16m50.714s
40     021  NormCache          2594        2592     0m0.809s
41     021    NoCache           307           0     0m1.595s
42     022  NormCache            41           6     0m0.376s
43     022    NoCache            41           0     0m0.625s
44     023  NormCache           327         310     0m0.478s
45     023    NoCache            94           0     0m0.666s
46     024  NormCache            13          11     0m0.345s
47     024    NoCache             7           0     0m0.438s
48     025    NoCache             0           0     0m0.386s
49     025  NormCache             0           0     0m0.346s
50     026  NormCache             5           0     0m4.473s
51     026    NoCache             5           0     0m6.576s
52     027  NormCache           105          25     0m0.540s
53     027    NoCache           105           0     0m0.562s
54     028    NoCache           843           0     0m2.639s
55     028  NormCache          9419        9417     0m1.427s
56     029    NoCache            13           0     0m0.433s
57     029  NormCache            13           0     0m0.402s
58     030    NoCache          6655           0   23m46.401s
59     030  NormCache          6654           0   36m18.866s
60     031  NormCache        395746      395097    9m18.096s
61     031    NoCache         44942           0   20m42.121s
62     032    NoCache             5           0     0m0.436s
63     032  NormCache             9           5     0m0.368s
64     033  NormCache          1132        1130     0m0.496s
65     033    NoCache           157           0     0m0.842s
66     034    NoCache            74           0     0m0.757s
67     034  NormCache           453         451     0m0.431s
68     035  NormCache            20           9     0m0.340s
69     035    NoCache            13           0     0m0.475s
70     036  NormCache            50           0     0m0.474s
71     036    NoCache            50           0     0m0.552s
72     037    NoCache             0           0    17m5.603s
73     037  NormCache             0           0    9m30.463s
74     038    NoCache             6           0    0m13.308s
75     038  NormCache             6           0     0m7.589s
76     039    NoCache             3           0     0m2.408s
77     039  NormCache             3           0     0m2.557s
78     040    NoCache             6           0     0m0.338s
79     040  NormCache             6           0     0m0.390s
80     041  NormCache          1565        1563     0m0.642s
